,poi_id,name,review_count,rating,price,distance,full_address,station_id
0,bHecMQ85o3ayw1t9hRA90g,The French,98.0,4.0,$$$,734.6326065367784,"['37 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
1,752Fv2jKafftvoS3Twkqyg,Hambrgr,202.0,4.0,$$,772.6327741347689,"['49 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
2,h2mI1wBIK1PyaNupaL58gw,The Mule,179.0,4.0,$$,758.9548255749228,"['41 King William Street', 'Hamilton, ON L8R 1A2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
3,CH4A4Aa--t0A7bP1VfkMrA,Charred Chicken,118.0,4.0,$$,441.8086991216216,"['244 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
4,EGutBSi1dgdaJoLu-LdsTw,August 8,123.0,4.0,$$,564.1628112852386,"['1 Wilson Street', 'Suite 12', 'Hamilton, ON L8R', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
5,xwVB61hW9rpyp6wALR4Apg,Berkeley North,42.0,4.5,$$$,724.3432431105293,"['31 King William Street', 'Hamilton, ON L8R 1A1', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
6,KlShqEAvqRFUYJafx56tkQ,Pho Hamilton,6.0,4.5,,227.30243637776735,"['115 Park Street N', 'Hamilton, ON L8R 2N2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
7,iAxN1bz9JBSG_S1naWHNuw,The Burnt Tongue,89.0,4.0,$,490.1483046390419,"['10 Cannon St E', 'Hamilton, ON L8L 1Z5', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
8,RRnbO5NZq716CC8emwWedg,Mulberry Coffeehouse,76.0,4.0,$$,420.35241691772006,"['193 James Street N', 'Hamilton, ON L8R 2L2', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
9,TxrfCuyQThzsFUlcFqdqSw,Saint James Espresso Bar & Eatery,57.0,4.5,$$,461.2000937322374,"['170 James Street N', 'Hamilton, ON L8R 2L1', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
10,9SSQNmfpLEK_p3otvMVy9Q,Born and Raised,25.0,4.0,$$,445.9030296944546,"['224 James Street N', 'Hamilton, ON L8R 2L3', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
11,ouKTL8ajZ2BGPRf33xwGWA,Pho Nhung,18.0,4.5,,502.16521027733387,"['85 Queen St N', 'Hamilton, ON L8R 2V5', 'Canada']",b933317ff2861c45aacbea4cbf4b541f
